ID,Title,Date,Image URL,Type,Status,Labels,Country,Province,District,Sub Ditstrict,fave_property_location,fave_property_sec_price,fave_property_price_postfix,fave_property_size,fave_property_size_prefix,fave_property_id,fave_terms-and-conditions,fave_warehouse-length,fave_electricity-system,fave_clear-height3,fave_features3,fave_landlord-name,fave_landlord-contact,fave_agent-team,fave_exact_map_coordinates,fave_floor3,fave_property_land,fave_property_land_postfix,fave_remarks3,fave_property_price,Slug,Approve Status,Post Modified Date
4798,"Warehouse 960 sqm for RENT at Samrong Klang, Phra Pradaeng, Samut Prakan (Property ID: AT13R)",2021-02-16,https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/1-20.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/2-16.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/3-16.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/4-15.jpg,Warehouse,For Rent,,Thailand,Samut Prakan,Phra Pradaeng,Samrong Klang,"13.538084,100.8025907,15",76800,Month,960,sqm,AT13R,"minimum 3 years contract, 3 months deposit + 1 month rental advance",40m x 24m,Single Phase (Upgradable),8m,,Lakha BKKwarehouse,897685205,A,"13.646222, 100.589806",2 tons per sqm,,,"Other size available: 360 sq.m/ 2,958 sq.m",,warehouse-960-sqm-for-rent-at-samrong-klang-phra-pradaeng-samut-prakan-property-id-at13r,publish,2025-07-30
4804,"Warehouse 1,500 sqm for RENT at Samrong Tai, Phra Pradaeng, Samut Prakan (Property ID: AT14R)",2021-02-16,https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/1-21.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/2-19.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/3-19.jpg,Warehouse,For Rent,,Thailand,Samut Prakan,Phra Pradaeng,Samrong Tai,"13.538084,100.8025907,15",127500,Month,1500,sqm,AT14R,"minimum 3 years contract, 3 months deposit + 1 month rental advance",42m x 36m,Single Phase (Upgradable),8m,,Lakha BKKwarehouse,897685205,A,"13.641778, 100.585917",2 tons per sqm,,,,,warehouse-1500-sqm-for-rent-at-samrong-tai-phra-pradaeng-samut-prakan-property-id-at14r,publish,2025-07-30
4809,"Factory or Warehouse 800 sqm for RENT at Thai Ban, Mueang Samut Prakan, Samut Prakan (Property ID: AT15R)",2021-02-16,https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/1-22.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/2-17.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/3-17.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/4-16.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/5-11.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/6-3.jpg,Factory|Warehouse,For Rent,Purple zone,Thailand,Samut Prakan,Mueang Samut Prakan,Thai Ban,"13.538084,100.8025907,15",72000,Month,800,sqm,AT15R,"minimum 1 years at lease, 3 months deposit + 1 month rental advance",50 m x 16 m,3 Phase 30/100 Amp (Upgradable),8m,Security guard|Purple zone,Yui Naspark,616651694,A,"13.555634, 100.606787",3 tons per sqm,,,,,factory-or-warehouse-800-sqm-for-rent-at-thai-ban-mueang-samut-prakan-samut-prakan-property-id-at15r,publish,2025-07-12
4818,"Factory or Warehouse 816 sqm for RENT at Samrong Tai, Phra Pradaeng, Samut Prakan (Property ID: AT16R)",2021-02-16,https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/1-42.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/1-.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/2-18.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/3-18.jpg,Factory|Warehouse,For Rent,,Thailand,Samut Prakan,Phra Pradaeng,Samrong Tai,"13.538084,100.8025907,15",97920,Month,816,sqm,AT16R,"minimum 3 years contract, 3 months deposit + 1 month rental advance",34m x 24m,3 Phase 15/45 Amp (Upgradable),6m,Security guard,Aom DC,974746611,A,"13.642056, 100.588972",3 tons per sqm,,,,,factory-or-warehouse-816-sqm-for-rent-at-samrong-tai-phra-pradaeng-samut-prakan-property-id-at16r,publish,2025-07-12
4825,"Warehouse 1,030 sqm for RENT at Khlong Song Ton Nun, Lat Krabang, Bangkok (Property ID: AT17R)",2021-02-17,https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/1-23.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/2-20.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/3-20.jpg,Warehouse,For Rent,,Thailand,Bangkok,Lat Krabang,Khlong Song Ton Nun,"13.538084,100.8025907,15",123600,Month,1030,sqm,AT17R,"minimum 3 years contract, 3 months deposit + 1 month rental advance",52m x 20m,3 Phase 15/45 Amp (Upgradable),6m,,Sukanya,899227622,A,"13.750972, 100.718639",2 tons per sqm,,,,,warehouse-1030-sqm-for-rent-at-khlong-song-ton-nun-lat-krabang-bangkok-property-id-at17r,publish,2025-07-12
4846,"Warehouse 1,440 sqm for RENT at Lam Prathew, Lat Krabang, Bangkok (Property ID: AT19R)",2021-02-18,https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/1.1.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/1-25-scaled.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/2-22.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/3-22.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/4-18.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/5-13-scaled.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/1-26.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/1.1-1.jpg,Warehouse,For Rent,,Thailand,Bangkok,Lat Krabang,Lam Prathew,"13.538084,100.8025907,15",158400,Month,1440,sqm,AT19R,"minimum 3 years contract, 3 months deposit + 1 month rental advance",40m x 36m,3 Phase 15/45 Amp (Upgradable),8m,With Office area|Security guard,Nam Latkrabang,27277627,A,"13.782667, 100.792972",2 tons per sqm,,,"Other available size : 2,880/ 5,755 sq.m",,warehouse-1440-sqm-for-rent-at-lam-prathew-lat-krabang-bangkok-property-id-at19r,publish,2025-07-12
4856,"Factory or Warehouse 1,100 sqm for RENT at Bo Win, Si Racha, Chon Buri (Property ID: AT20R)",2021-02-20,https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/1-27.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/2-23.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/3-23.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/4-19.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/5-14.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/6-5.jpg,Factory|Warehouse,For Rent,Industrial estate zone|Purple zone,Thailand,Chon Buri,Si Racha,Bo Win,"13.538084,100.8025907,15",165000,Month,1100,sqm,AT20R,"minimum 3 years contract, 3 months deposit + 1 month rental advance",40m x 25m,3 Phase 15/45 Amp (Upgradable),8m,With Office area|Security guard|Purple zone|Industrial estate zone,Satang Pinthong,917688899,B,"13.092639, 101.063167",3 tons per sqm,,,,,factory-or-warehouse-1100-sqm-for-rent-at-bo-win-si-racha-chonburi-property-id-at20r,publish,2025-07-12
4864,"Warehouse 2,400 sqm for RENT at Surasak, Si Racha, Chon Buri (Property ID: AT21R)",2021-02-20,https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/01.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/02.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/03.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/04.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/05.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/06.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/07.jpg,Warehouse,For Rent,,Thailand,Chon Buri,Si Racha,Surasak,"13.538084,100.8025907,15",372000,Month,2400,sqm,AT21R,"minimum 3 years contract, 3 months deposit + 1 month rental advance",60m x 40m,3 Phase 15/45 Amp (Upgradable),10m,With Office area|Security guard,Fon Tpark,867712848,B,"13.175914,100.997871",3 tons per sqm,,,,,warehouse-2400-sqm-for-rent-at-surasak-si-racha-chon-buri-property-id-at21r,publish,2025-07-12
4873,"Factory or Warehouse 1,620 sqm for RENT at Bo Win, Si Racha, Chon Buri (Property ID: AT22R)",2021-02-20,https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/1-28.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/2-24.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/3-24.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/4-20.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/5-15.jpg,Factory|Warehouse,For Rent,Industrial estate zone|Purple zone,Thailand,Chon Buri,Si Racha,Bo Win,"13.538084,100.8025907,15",324000,Month,1620,sqm,AT22R,"minimum 3 years contract, 3 months deposit + 1 month rental advance",48m x 30m,3 Phase 15/45 Amp (Upgradable),7m,With Office area|Detached building|Purple zone|Industrial estate zone,Satang Pinthong,917688899,B,"13.092500, 101.062139",3 tons per sqm,3,rai,,,factory-or-warehouse-1620-sqm-for-rent-or-sale-at-bo-win-si-racha-chon-buri-property-id-at22sr,publish,2025-07-12
4889,"Factory or Warehouse 1,500 sqm for RENT at Nong Kham, Si Racha, Chon Buri (Property ID: AT24R)",2021-02-21,https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/1-38.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/1-30.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/2-26.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/3-26.jpg|https://atsokoweb.thaiindustrialproperty.com/wp-content/uploads/2021/02/4-22.jpg,Factory|Warehouse,For Rent,,Thailand,Chon Buri,Si Racha,Nong Kham,"13.538084,100.8025907,15",225000,Month,1500,sqm,AT24R,"minimum 3 years contract, 3 months deposit + 1 month rental advance",50m x 30m,3 Phase 15/45 Amp (Upgradable),8m,Detached building,Yot BLMT,816920285,B,"13.129194, 100.991806",3 tons per sqm,,,,,factory-or-warehouse-1500-sqm-for-rent-at-nong-kham-si-racha-chon-buri-property-id-at24r,publish,2025-07-12
